data,denominazione_regione,nuovi_positivi,totale_positivi,tamponi_settimanali,tamponi_positivi_settimanali,tamponi_test_antigenico_rapido,totale_positivi_test_antigenico_rapido
2024-07-17,Basilicata,13,9899,297.0,13.0,676951.0,131292.0
2024-07-17,Calabria,146,1880,915.0,144.0,2598558.0,451287.0
2024-07-17,Campania,1483,6543,11360.0,1435.0,12354382.0,1592426.0
2024-07-17,Emilia-Romagna,475,1654,2936.0,442.0,9342501.0,1111832.0
2024-07-17,Friuli-Venezia Giulia,101,378,681.0,66.0,4002964.0,356532.0
2024-07-17,Lazio,1627,65381,11605.0,1580.0,17974313.0,1494134.0
2024-07-17,Liguria,367,70,2229.0,376.0,4460629.0,402743.0
2024-07-17,Lombardia,1761,2052,12265.0,1642.0,30215518.0,2792547.0
2024-07-17,Marche,6,10,100.0,6.0,1787175.0,513673.0
2024-07-17,Molise,6,22,90.0,0.0,301052.0,74464.0
